"Pozorování";"pozorováním lze získat omezené znalosti týkající se objektů v našem dosahu.";"automaticke-uvazovani uvod"
"Uvažování";"Konstruování (neintuitivních) závěrů z daných předpokladů. Cílem uvažování je odvodit znalost, kterou nemůžeme (nebo nechceme) získat pozorováním. Uvažování je smysluplné (korektní), pokud jím získané závěry jsou pravdivé.";"automaticke-uvazovani uvod"
"Logika";"Matematický obor zkoumající exaktní postupy uvažování.";"automaticke-uvazovani uvod"
"Syntaxe";"Syntaxe logiky je ta část logiky, která se zabývá formální popisem logického jazyka, aniž by mu přiřazovala význam či zkoumala pravdivost.";"automaticke-uvazovani uvod"
"Sémantika";"je ta část logiky, která se zabývá přiřazováním významu symbolům a dalším konstrukcím jazyka logiky.";"automaticke-uvazovani uvod"
"Korektnost";"Uvažování (v logice i jinde) přináší prospěch jen pokud jeho výsledky jsou pravdivá tvrzení. Takovému uvažování (takovým deduktivním pravidlům) říkáme korektní.";"automaticke-uvazovani uvod"
"nekonzistentní systémy";"systémy, v nichž lze dokázat nepravdivá tvrzení.";"automaticke-uvazovani uvod"
"neúplné systémy";"systémy ve kterých nelze dokázat to, co potřebujeme.";"automaticke-uvazovani uvod"
"Russelův paradox";"Pokud použijeme neformální definici množiny: Všechny objekty s danou vlastnosti tvoří množinu.";"automaticke-uvazovani uvod"
"Gödelova věta";"ne všechna pravdivá tvrzení lze formálně dokázat.";"automaticke-uvazovani uvod"
"Algoritmus Britského muzea";"každé dokazatelné tvrzení lze dokázat strojově. Pomocí odvozovacích pravidel postupně generujeme důkazy všech pravdivých tvrzení. Jistě takto jednou najdeme i důkaz tvrzení, které chceme dokázat. Obecně ale nelze každé dokazatelné tvrzení dokázat efektivně.";"automaticke-uvazovani uvod"
"Automatické uvažování";"zkratka ATP (automated theorem proving). Rozdělení: Hledání modelů (model finding), Kontrola modelů.";"automaticke-uvazovani uvod"
"Automatické dokazování";"Cílem je počítačem z dané množiny předpokladů logicky odvodit platnost daného závěru. Výsledkem je: důkaz závěru z předpokladů (nebo jen konstatování, že je tvrzení dokazatelné). Nebo konstatování, že tvrzení je nedokazatelné (pouze někdy!). Nebo není schopen systém rozhodnout v rámci daných omezení (čas, paměť, ...).";"automaticke-uvazovani uvod"
"Kontrola modelů";"Formálně: zkoumáme, zda platí tvrzení v dané interpretaci – v rámci daného přiřazení významu logického jazyka.";"automaticke-uvazovani uvod"
"Hledání modelů";"Formálně: hledáme model množiny formulí.";"automaticke-uvazovani uvod"
"Interaktivní systémy";"pracují v menších krocích. Operátor systému „napovídá“, jaké taktiky má zkoušet a směruje ho tak k cíli.";"automaticke-uvazovani uvod"
"Automatické systémy";"se snaží zcela samostatně vyřešit úlohu.";"automaticke-uvazovani uvod"
"Interpretace";"Interpretace M je zobrazení, které přiřazuje každé výrokové proměnné význam – nepravda nebo pravda, nebo jako hodnoty 0 nebo 1.";"automaticke-uvazovani rezolucni-kalkulus-pro-vyrokovou-logiku"
"Model";"Jestliže je formule φ pravdivá v dané interpretaci M, říkáme, že M je model φ, značíme: M |= φ. Říkáme též, že M splňuje φ.";"automaticke-uvazovani rezolucni-kalkulus-pro-vyrokovou-logiku"
"Sémantický důsledek";"Jestliže ψ platí ve všech interpretacích, ve kterých platí φ, říkáme, že ψ je sémantický důsledek φ. Značení: φ ⊨ ψ";"automaticke-uvazovani rezolucni-kalkulus-pro-vyrokovou-logiku"
"Tautologie";"Jestliže formule φ platí ve všech interpretacích, nazýváme jí tautologie. Značení: ⊨ φ";"automaticke-uvazovani rezolucni-kalkulus-pro-vyrokovou-logiku"
