"acyclic";" Of graph, such one that it does not contain any directed cycle. A finite, acyclic digraph with no isolated vertices necessarily contain at least one source and at least one sink. See also directed acyclic graph (DAG for short) for more.";"graph-theory"
"acyclic graph";" A graph that contains no cycles.";"graph-theory"
"adjacent";" Two edges are adjacent if they have a node in common; two nodes are adjacent if they have an edge in common.";"graph-theory"
"anti-edge";" An edge that ""is not there"". More formally, for two vertices  and ,  is an anti-edge in a graph  if  is not an edge in . This means that there is either no edge between the two vertices or there is only an edge  from  to  if  is directed.";"graph-theory"
"anti-triangle";" A set of three vertices none of which are connected.";"graph-theory"
"arborescence";" (also out-tree or branching) An oriented tree in which all vertices are reachable from a single vertex. Likewise, an in-tree is an oriented tree in which a single vertex is reachable from every other one.";"graph-theory"
"adjacency matrix";" In computers, a finite, directed or undirected graph (with n vertices, say) is often represented by its adjacency matrix: an n-by-n matrix whose entry in row i and column j gives the number of edges from the i-th to the j-th vertex.";"graph-theory"
"adjacent";" Two vertices u and v are considered adjacent if an edge exists between them. We denote this by u ↓ v. In the above graph, vertices 1 and 2 are adjacent, but vertices 2 and 4 are not. The set of neighbors, called a (open) neighborhood NG(v) for a vertex v in a graph G, consists of all vertices adjacent to v but not including v. When v is also included, it is called a closed neighborhood, denoted by NG[v]. When stated without any qualification, a neighborhood is assumed to be open. The subscript G is usually dropped when there is no danger of confusion. In the example graph, vertex 1 has two neighbors: vertices 2 and 5. For a simple graph, the number of neighbors that a vertex has coincides with its degree.";"graph-theory"
"arc";" (also directed edge) An ordered pair of endvertices.";"graph-theory"
"articulation point";" A cut vertex.";"graph-theory"
"balanced k-partite graph";" A k-partite graph such that each partite set differs in size by at most 1 with any other.";"graph-theory"
"biclique";" A complete bipartite graph.";"graph-theory"
"biconnected component";" A maximal set of edges in which any two members lie on a common simple cycle.";"graph-theory"
"bipartite graph";" A graph that can be decomposed into two partite sets but not fewer.";"graph-theory"
"biregular graph";" A graph that has unequal maximum and minimum degrees and every vertex has one of those two degrees.";"graph-theory"
"block";" Either a maximally 2-connected subgraph or a bridge with its endvertices.";"graph-theory"
"bond";" A minimal (but not necessarily minimum), nonempty set of edges whose removal disconnects a graph.";"graph-theory"
"bridge";" An edge whose removal disconnects a graph. (For example, a tree is made entirely of bridges.)";"graph-theory"
"center";" A vertex with minimum eccentricity.";"graph-theory"
"circuit";" A circuit of n vertices, denoted by Cn, is usually assumed to be a simple cycle, or a simple circuit, meaning that every vertex is incident to exactly two edges. In the above graph (1, 5, 2, 1) is a simple cycle.";"graph-theory"
"circumference";" The length of a longest (simple) cycle, or infinity if the graph is acyclic.";"graph-theory"
"claw";" An induced star with 3 edges.";"graph-theory"
"clique";" In a graph, a set of pairwise adjacent vertices. Since any subgraph induced by a clique is a complete subgraph, the two terms and their notations are usually used interchangeably.";"graph-theory"
"k-clique";" A clique of order k. In the example graph above, vertices 1, 2 and 5 form a 3-clique, or a triangle.";"graph-theory"
"clique number";" ω(G) of a graph G, the order of a largest clique in G.";"graph-theory"
"color, colored, identified";" Nodes or edges which are considered as individuals. Although they may actually be rendered in diagrams in different colors, working mathematicians generally pencil in numbers or letters.";"graph-theory"
"k-colorable graph'";" A graph that can be decomposed into k partite sets.";"graph-theory"
"complement";" of a graph G is a graph with the same vertex set as G but with an edge set such that xy is an edge in  if and only if xy is not an edge in G.";"graph-theory"
"complete";" A graph in which every node is linked to every other node. For a complete digraph, this means one link in either direction.";"graph-theory"
"complete graph";" Kn of order n, a simple graph with n vertices in which every vertex is adjacent to every other. The example graph is not complete. The complete graph on n vertices is often denoted by Kn. It has n(n-1)/2 edges (corresponding to all possible choices of pairs of vertices).";"graph-theory"
"complete multipartite graph";" A graph in which vertices are adjacent if and only if they belong to different partite sets.";"graph-theory"
"component";" A maximally connected subgraph.";"graph-theory"
"connected";" If some route exists from every node to every other, the graph is connected. Note that some graphs are not connected. A diagram of an unconnected graph may look like two or more unrelated diagrams, but all the nodes and edges shown are considered as one graph.";"graph-theory"
"connectivity";" extends the concept of adjacency and is essentially a form (and measure) of concatenated adjacency.";"graph-theory"
"connected graph";" If it is possible to establish a path from any vertex to any other vertex of a graph, the graph is said to be connected.";"graph-theory"
"k-connected";" If it is always possible to establish a path from any vertex to every other one even after removing any k - 1 vertices, then the graph is said to be k-connected. Note that a graph is k-connected if and only if it contains k internally disjoint paths between any two vertices. The example graph above is connected (and therefore 1-connected), but not 2-connected.";"graph-theory"
"connectivity";" κ(G) of a graph G is the minimum number of vertices needed to disconnect G. By convention, Kn has connectivity n - 1; and a disconnected graph has connectivity 0.";"graph-theory"
"crossing";" A pair of intersecting edges.";"graph-theory"
"crossing number";" The minimum number of crossings that must appear when a graph is drawn on a plane is called the crossing number.";"graph-theory"
"cut";" A partition of the vertices of a graph into two disjoint subsets.";"graph-theory"
"cut edge";" A bridge.";"graph-theory"
"cut set";" A set of vertices whose removal disconnects the graph.";"graph-theory"
"cut vertex";" A vertex whose removal disconnects a graph. Also known as Cut Point or Articulation Point. See also cut set and bridge.";"graph-theory"
"cycle";" In a graph was a closed walk.";"graph-theory"
"DAG";" A directed acyclic graph.";"graph-theory"
"degree";" The number of edges which connect a node.";"graph-theory"
"degree";" dG(v) of a vertex v in a graph G is the number of edges incident to v, with loops being counted twice. A vertex of degree 0 is an isolated vertex. A vertex of degree 1 is a leaf. In the example graph vertices 1 and 3 have a degree of 2, vertices 2,4 and 5 have a degree of 3 and vertex 6 has a degree of 1. If E is finite, then the total sum of vertex degrees is equal to twice the number of edges.";"graph-theory"
"degree sequence";" A list of degrees of a graph in non-increasing order (e.g. d1 ≥ d2 ≥ … ≥ dn). A sequence of non-increasing integers is realizable if it is a degree sequence of some graph.";"graph-theory"
"diagram";" A visible rendering of the abstract concept of a graph.";"graph-theory"
"diameter";" The maximum eccentricity over all vertices in a graph. It is denoted diam(G) of a graph G.";"graph-theory"
"digraph";" A directed graph.";"graph-theory"
"directed cycle";" (also cycle) An oriented simple cycle such that all arcs go the same direction, meaning all vertices have in- and out-degrees 1.";"graph-theory"
"directed";" A graph in which each edge symbolizes an ordered, non-transitive relationship between two nodes. Such edges are rendered with an arrowhead at one end of a line or arc.";"graph-theory"
"directed graph";" A graph whose edges are directed, possibly represented as ordered pairs of vertices; synonyms: digraph. Alternative models of graph exist; e.g., a graph may be thought as a Boolean binary function over the set of vertices or as a square (0,1)-matrix.";"graph-theory"
"disconnected graph";" A graph that is not connected.";"graph-theory"
"disconnecting set";" A set of edges whose removal increases the number of components.";"graph-theory"
"distance";" dG(u, v) between two (not necessary distinct) vertices u and v in a graph G is the length of a shortest path between them. The subscript G is usually dropped when there is no danger of confusion. When u and v are identical, their distance is 0. When u and v are unreachable from each other, their distance is defined to be infinity ∞.";"graph-theory"
"dominate";" A vertex v dominates another vertex u if there is an arc from v to u. A vertex subset S is out-dominating if every vertex not in S is dominated by some vertex in S; and in-dominating if every vertex in S is dominated by some vertex not in S.";"graph-theory"
"dominating set";" Of a graph, a vertex subset whose closed neighborhood include all vertices of the graph. A vertex v dominates another vertex u if there is an edge from v to u. A vertex subset V dominates another vertex subset U if every vertex in U is adjacent to some vertex in V. The minimum size of a dominating set is the domination number γ(G).";"graph-theory"
"dual";" A dual, or planar dual when the context needs to be clarified, G* of a plane graph G is a graph whose vertices represent the faces, including any outerface, of G and are adjacent in G* if and only if their corresponding faces are adjacent in G. The dual of a planar graph is always a planar pseudograph (e.g. consider the dual of a triangle). In the familiar case of a 3-connected simple planar graph G (isomorphic to a convex polyhedron P), the dual G* is also a 3-connected simple planar graph (and isomorphic to the dual polyhedron P*).";"graph-theory"
"eccentricity";" εG(v) of a vertex v in a graph G is the maximum distance from v to any other vertex.";"graph-theory"
"edge";" A set of two elements, drawn as a line connecting two vertices, called endvertices, or endpoints. An edge with endvertices x and y is denoted by xy without any symbol in between, so, do not write x⋅y. The edge set of G is usually denoted by E(G), or E when there is no danger of confusion.";"graph-theory"
"edge, link, arc";" Relationships represented in a graph. These are always rendered as straight or curved lines. The term ""arc"" may be misleading.";"graph-theory"
"edge cut";" The set of all edges having one endvertex in some proper vertex subset S and another endvertex in V(G)\S. Edges of K3 form a disconnecting set but not an edge cut. Any two edges of K3 form a minimal disconnecting set as well as an edge cut. An edge cut is necessarily a disconnecting set; and a minimal disconnecting set of an nonempty graph is necessarily an edge cut.";"graph-theory"
"edgeless graph";" (empty graph) A graph possibly with some vertices, but no edges. Or, it is a graph with no vertices and no edges.";"graph-theory"
"k-edge-connected";" Of a graph, such that if any subgraph formed by removing any k - 1 edges is still connected. The edge connectivity κ′(G) of a graph G is the minimum number of edges needed to disconnect G. One well-known result is that κ(G) ≤ κ′(G) ≤ δ(G).";"graph-theory"
"embeddable";" A graph is embeddable on a surface if its vertices and edges can be arranged on it without any crossing. The genus of a graph is the lowest genus of any surface on which the graph can embed.";"graph-theory"
"embedding";" of  is an injection from  to  such that every edge in  corresponds to a path(disjoint from all other such paths) in .";"graph-theory"
"equipartite graph";" A k-partite graph such that each partite set has the same size.";"graph-theory"
"Eulerian circuit";" Eulerian cycle.";"graph-theory"
"Eulerian cycle";" A closed walk which uses each edge precisely once.";"graph-theory"
"Eulerian digraph";" A digraph with equal in- and out-degrees at every vertex.";"graph-theory"
"Eulerian path";" A path which passes through every edge (once and only once). If the starting and ending nodes are the same, it is an Euler cycle or an Euler circuit. If the starting and ending nodes are different, it is an Euler trail.";"graph-theory"
"Eulerian path";" A graph is a walk that uses each edge precisely once; that is, a trail that uses all the edges. If such a trail exists, the graph is called traversable.";"graph-theory"
"Eulerian trail";" Eulerian path.";"graph-theory"
"Eulerian tour";" Eulerian cycle.";"graph-theory"
"even cycle";" A cycle that has an even length.";"graph-theory"
"face";" When a graph is drawn without any crossing, any cycle that surrounds a region without any edge reaching from the cycle inside to such region forms a face. Two faces on a plane graph are adjacent if they share a common edge.";"graph-theory"
"factor";" A spanning subgraph.";"graph-theory"
"k-factor";" A k-regular spanning subgraph. An 1-factor is a perfect matching. A partition of edges of a graph into k-factors is called a k-factorization. A k-factorable graph is a graph that admits a k-factorization.";"graph-theory"
"forest";" A vertex-disjoint union of trees; or, equivalently, an acyclic graph.";"graph-theory"
"girth";" Of a graph, the length of a shortest (simple) cycle in the graph, or infinity if the graph is acyclic.";"graph-theory"
"graph, network";" An abstraction of relationships among objects. Graphs consist exclusively of nodes and edges. All characteristics of a system are either eliminated or subsumed into these elements.";"graph-theory"
"graph";" A mathematical structure costiting of two types of elements, namely vertices and edges. Every edge has two endpoints in the set of vertices, ans is said to connect or join the two endpoints. The set of edges can thus be defined as a subset of the family of all two-element sets of vertices. Often, however, the set of vertices is considered as a set, and there is an incidence relation which maps each edge to the pair of vertices that are its endpoints.";"graph-theory"
"graph invariant";" A property of a graph G, usually a number or a polynomial, that depends only on the isomorphism class of G; examples are genus and graph order.";"graph-theory"
"graph labeling";" The assignment of unique labels (usually natural numbers) to the edges and vertices of a graph. Graphs with labeled edges or vertices are known as labeled, those without as unlabeled. More specifically, graphs with labeled vertices only are vertex-labeled, those with labeled edges only are edge-labeled. (This usage is to distinguish between graphs with identifiable vertex or edge sets on the one hand, and isomorphism types or classes of graphs on the other.)";"graph-theory"
"Hamiltonian cycle";" A spanning cycle.";"graph-theory"
"Hamiltonian graph";" A graph that contains a Hamiltonian cycle.";"graph-theory"
"Hamiltonian path";" A (simple) path that contains every vertex.";"graph-theory"
"Hamiltonian path";" A path which passes through every node once and only once. If the starting and ending nodes are adjacent, it is a Hamiltonian cycle.";"graph-theory"
"Hamiltonian path";" A spanning path.";"graph-theory"
"Hamiltonian connected graph";" A graph that, given any pair of (distinct) vertices, contains a Hamiltonian path using them as endvertices.";"graph-theory"
"H-free graf";" A graph that does not contain H as an induced subgraph is said to be H-free.";"graph-theory"
"head";" The first vertex in the arc AKA directed edge.";"graph-theory"
"homomorphic";" Likewise, a graph G is said to be homomorphic to a graph H if there is a mapping, called a homomorphism, from V(G) to V(H) such that if two vertices are adjacent in G then their corresponding vertices are adjacent in H.";"graph-theory"
"hyperedge";" An edge that is allowed to take on any number of vertices, possibly more than 2. A graph that allows any hyperedge is called a hypergraph. A simple graph can be considered a special case of the hypergraph, namely the 2-uniform hypergraph. However, when stated without any qualification, an edge is always assumed to consist of at most 2 vertices, and a graph is never confused with a hypergraph.";"graph-theory"
