"Multiagent system";"is a collection of multiple autonomous agents, each acting towards its objectives while all interacting in a shared environment, being able to communicate and possibly coordinate their actions.";"multi-agent-systems"
"Agent";"[Russell & Norvig] An agent is anything that can perceive its environment (through its sensors) and act upon that environment (through its effectors).<br>[Wooldridge & Jennings] An agent is a computer system that is situated in some environment, and that is capable of autonomous action in this environment in order to meet its design objectives/delegated goals.";"multi-agent-systems"
"autonomous";"the agent is self goal-directed and acts without requiring user initiation and guidance; it can choose its own goal and the way to achieve it; its behavior is determined by its experience; we have no direct control over it";"multi-agent-systems autonomous-agent-properties"
"reactive";"the agent maintains an ongoing interaction with its environment, and responds to changes that occur in it";"multi-agent-systems autonomous-agent-properties"
"proactive";"the agent generates and attempts to achieve goals; it is not driven solely by events but takes the initiative";"multi-agent-systems autonomous-agent-properties"
"sociable";"the agent interacts with other agents (and possibly humans) via cooperation, coordination, and negotiation; it is aware and able to reason about other agents and how they can help it achieve its own goals";"multi-agent-systems autonomous-agent-properties"
"coordination";"is managing the interdependencies between actions of multiple agents (not necessarily cooperative)";"multi-agent-systems autonomous-agent-properties"
"cooperation";"is working together as a team to achieve a shared goal";"multi-agent-systems autonomous-agent-properties"
"negotiation";"is the ability to reach agreements on matters of common interest";"multi-agent-systems autonomous-agent-properties"
"Agent function";"Agent’s behavior is described by the agent function that maps percept sequences to actions.";"multi-agent-systems autonomous-agent-properties agent-behavior"
"Agent program";"runs on a physical architecture to produce agent function.";"multi-agent-systems autonomous-agent-properties agent-behavior"
"Rational agent";"chooses whichever action maximizes the expected value of the performance measure given the percept sequence to date and whatever bulit-in knowledge the agent has.";"multi-agent-systems autonomous-agent-properties agent-behavior"
"Task environment";"Performance measure, Environment,  Actuators, Sensors";"multi-agent-systems autonomous-agent-properties agent-behavior"
"Fully observable vs. partially observable";"can agents obtain complete and correct information about the state of the world?";"multi-agent-systems autonomous-agent-properties properties-of-environments"
"Deterministic vs. stochastic";"Do actions have guaranteed and uniquely defined effects?";"multi-agent-systems autonomous-agent-properties properties-of-environments"
"Episodic vs. sequential";"Can agents decisions be made for different, independent episodes?";"multi-agent-systems autonomous-agent-properties properties-of-environments"
"Static vs. dynamic";"Does the environment change by processes beyond agent control?";"multi-agent-systems autonomous-agent-properties properties-of-environments"
"Discrete vs. continuous";"Is the number of actions and percepts fixed and finite?";"multi-agent-systems autonomous-agent-properties properties-of-environments"
"Single-agent vs. multi-agent";"Does the behavior of one agent depends on the behavior of other agents?";"multi-agent-systems autonomous-agent-properties properties-of-environments"
"Simple Reflex Agents";"chooses the next action on the basis of the current percept only.";"multi-agent-systems autonomous-agent-properties hierarchy-of-agents"
"Model-based Reflex Agent";"Keeps track of the world by extracting relevant information from percepts and storing it in its memory.";"multi-agent-systems autonomous-agent-properties hierarchy-of-agents"
"Goal-based Agents";"Goal-based agents are more flexible, they use search and planning.";"multi-agent-systems autonomous-agent-properties hierarchy-of-agents"
"Utility-based Agents";"use the utility function to choose the most desirable action/course of actions to take.";"multi-agent-systems autonomous-agent-properties hierarchy-of-agents"
"Utility";"is a function that maps a state onto a real number; it captures “quality” of a state. If an agent prefers one world state to another state then the former state has higher utility for the agent.";"multi-agent-systems autonomous-agent-properties hierarchy-of-agents"
"Intelligent agent";"is autonomous, proactive, reactive and sociable.";"multi-agent-systems autonomous-agent-properties summary"
"Auction";"mechanism for allocating resource among self-interested agents<br>[Shoham & Leyton-Brown 2009] An auction is a protocol that allows agents (=bidders) to indicate their interests in one or more resources and that uses these indications of interest to determine both an allocation of resources and a set of payments by the agents.";"multi-agent-systems auctions"
"Bidding rules";"How offers are made: by whom, when, what their content is";"multi-agent-systems auctions auctions-rules"
"Clearing rules";"Who gets which goods (allocation) and what money changes hands (payment).";"multi-agent-systems auctions auctions-rules"
"Information rules";"What information about the state of the negotiation is revealed to whom and when.";"multi-agent-systems auctions auctions-rules"
"Common value";"the good has the same value to all agents example: a 100 dollar note";"multi-agent-systems auctions valuation-models"
